,JSON,DATE,CITY,COUNTRY,LAT,LNG,MAX_TEMP,HUMIDITY,CLOUDINESS,WIND_SPEED
11,"{'coord': {'lon': -121.4238, 'lat': 38.421}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 99, 'feels_like': 101.16, 'temp_min': 95.09, 'temp_max': 103.64, 'pressure': 1010, 'humidity': 31}, 'visibility': 10000, 'wind': {'speed': 5.75, 'deg': 320}, 'clouds': {'all': 0}, 'dt': 1659562037, 'sys': {'type': 2, 'id': 2034215, 'country': 'US', 'sunrise': 1659532173, 'sunset': 1659582846}, 'timezone': -25200, 'id': 5364271, 'name': 'Laguna', 'cod': 200}",1659562037,Laguna,US,38.421,-121.4238,99.0,31.0,0.0,5.75
12,"{'coord': {'lon': -175.2, 'lat': -21.2}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 75.13, 'feels_like': 76.15, 'temp_min': 75.13, 'temp_max': 75.13, 'pressure': 1019, 'humidity': 81, 'sea_level': 1019, 'grnd_level': 1017}, 'visibility': 10000, 'wind': {'speed': 18.97, 'deg': 75, 'gust': 23.47}, 'clouds': {'all': 24}, 'dt': 1659561906, 'sys': {'country': 'TO', 'sunrise': 1659636633, 'sunset': 1659676988}, 'timezone': 46800, 'id': 4032243, 'name': 'Vaini', 'cod': 200}",1659561906,Vaini,TO,-21.2,-175.2,75.13,81.0,24.0,18.97
13,"{'coord': {'lon': -117.5758, 'lat': 47.4874}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 88.79, 'feels_like': 84.97, 'temp_min': 87.13, 'temp_max': 90.99, 'pressure': 1012, 'humidity': 16}, 'visibility': 10000, 'wind': {'speed': 21.85, 'deg': 220, 'gust': 31.07}, 'clouds': {'all': 20}, 'dt': 1659562203, 'sys': {'type': 2, 'id': 2003185, 'country': 'US', 'sunrise': 1659529849, 'sunset': 1659583324}, 'timezone': -25200, 'id': 5789856, 'name': 'Cheney', 'cod': 200}",1659562203,Cheney,US,47.4874,-117.5758,88.79,16.0,20.0,21.85
14,"{'coord': {'lon': 147.9167, 'lat': 70.6333}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 46.35, 'feels_like': 41.41, 'temp_min': 46.35, 'temp_max': 46.35, 'pressure': 1011, 'humidity': 76, 'sea_level': 1011, 'grnd_level': 1007}, 'visibility': 10000, 'wind': {'speed': 10.25, 'deg': 321, 'gust': 14.36}, 'clouds': {'all': 100}, 'dt': 1659561899, 'sys': {'country': 'RU', 'sunrise': 1659541041, 'sunset': 1659617493}, 'timezone': 39600, 'id': 2126123, 'name': 'Chokurdakh', 'cod': 200}",1659561899,Chokurdakh,RU,70.6333,147.9167,46.35,76.0,100.0,10.25
15,"{'coord': {'lon': 20.0403, 'lat': -34.5322}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 48.49, 'feels_like': 45.95, 'temp_min': 48.49, 'temp_max': 48.49, 'pressure': 1019, 'humidity': 92, 'sea_level': 1019, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 5.86, 'deg': 298, 'gust': 7.36}, 'clouds': {'all': 4}, 'dt': 1659561909, 'sys': {'country': 'ZA', 'sunrise': 1659504714, 'sunset': 1659542406}, 'timezone': 7200, 'id': 1015776, 'name': 'Bredasdorp', 'cod': 200}",1659561909,Bredasdorp,ZA,-34.5322,20.0403,48.49,92.0,4.0,5.86
17,"{'coord': {'lon': -68.3, 'lat': -54.8}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 38.86, 'feels_like': 38.86, 'temp_min': 38.82, 'temp_max': 38.86, 'pressure': 1013, 'humidity': 81}, 'visibility': 10000, 'wind': {'speed': 2.3, 'deg': 0}, 'clouds': {'all': 40}, 'dt': 1659561689, 'sys': {'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1659529117, 'sunset': 1659560404}, 'timezone': -10800, 'id': 3833367, 'name': 'Ushuaia', 'cod': 200}",1659561689,Ushuaia,AR,-54.8,-68.3,38.86,81.0,40.0,2.3
18,"{'coord': {'lon': -70.9167, 'lat': -53.15}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 41.11, 'feels_like': 33.62, 'temp_min': 41.11, 'temp_max': 41.11, 'pressure': 1011, 'humidity': 81}, 'visibility': 10000, 'wind': {'speed': 13.8, 'deg': 90}, 'clouds': {'all': 75}, 'dt': 1659561884, 'sys': {'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1659529365, 'sunset': 1659561412}, 'timezone': -10800, 'id': 3874787, 'name': 'Punta Arenas', 'cod': 200}",1659561884,Punta Arenas,CL,-53.15,-70.9167,41.11,81.0,75.0,13.8
19,"{'coord': {'lon': 150.1833, 'lat': -35.7167}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 60.1, 'feels_like': 59.38, 'temp_min': 60.1, 'temp_max': 60.1, 'pressure': 1005, 'humidity': 76, 'sea_level': 1005, 'grnd_level': 1003}, 'visibility': 10000, 'wind': {'speed': 13.82, 'deg': 336, 'gust': 35.66}, 'rain': {'1h': 2.73}, 'clouds': {'all': 78}, 'dt': 1659562213, 'sys': {'type': 2, 'id': 2039610, 'country': 'AU', 'sunrise': 1659559978, 'sunset': 1659597468}, 'timezone': 36000, 'id': 2176639, 'name': 'Batemans Bay', 'cod': 200}",1659562213,Batemans Bay,AU,-35.7167,150.1833,60.1,76.0,78.0,13.82
20,"{'coord': {'lon': 145.9167, 'lat': -41.0667}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 51.94, 'feels_like': 51.03, 'temp_min': 51.93, 'temp_max': 51.94, 'pressure': 996, 'humidity': 89, 'sea_level': 996, 'grnd_level': 993}, 'visibility': 10000, 'wind': {'speed': 9.75, 'deg': 305, 'gust': 18.3}, 'clouds': {'all': 48}, 'dt': 1659562214, 'sys': {'type': 2, 'id': 2018289, 'country': 'AU', 'sunrise': 1659561654, 'sunset': 1659597840}, 'timezone': 36000, 'id': 2173125, 'name': 'Burnie', 'cod': 200}",1659562214,Burnie,AU,-41.0667,145.9167,51.94,89.0,48.0,9.75
21,"{'coord': {'lon': 147.3294, 'lat': -42.8794}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': 49.8, 'feels_like': 44.4, 'temp_min': 45.27, 'temp_max': 54.27, 'pressure': 988, 'humidity': 83}, 'visibility': 10000, 'wind': {'speed': 14.97, 'deg': 330}, 'clouds': {'all': 20}, 'dt': 1659561909, 'sys': {'type': 2, 'id': 2002195, 'country': 'AU', 'sunrise': 1659561562, 'sunset': 1659597254}, 'timezone': 36000, 'id': 2163355, 'name': 'Hobart', 'cod': 200}",1659561909,Hobart,AU,-42.8794,147.3294,49.8,83.0,20.0,14.97
23,"{'coord': {'lon': 72.642, 'lat': 10.5669}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 77.61, 'feels_like': 79.3, 'temp_min': 77.61, 'temp_max': 77.61, 'pressure': 1005, 'humidity': 90, 'sea_level': 1005, 'grnd_level': 1004}, 'visibility': 6337, 'wind': {'speed': 33.98, 'deg': 284, 'gust': 41.45}, 'rain': {'1h': 2.82}, 'clouds': {'all': 100}, 'dt': 1659562130, 'sys': {'country': 'IN', 'sunrise': 1659574719, 'sunset': 1659619944}, 'timezone': 19800, 'id': 1267390, 'name': 'Kavaratti', 'cod': 200}",1659562130,Kavaratti,IN,10.5669,72.642,77.61,90.0,100.0,33.98
25,"{'coord': {'lon': 155.8, 'lat': 62.5333}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 58.12, 'feels_like': 57.25, 'temp_min': 58.12, 'temp_max': 58.12, 'pressure': 1009, 'humidity': 77, 'sea_level': 1009, 'grnd_level': 939}, 'visibility': 10000, 'wind': {'speed': 7.2, 'deg': 174, 'gust': 6.89}, 'clouds': {'all': 96}, 'dt': 1659562223, 'sys': {'country': 'RU', 'sunrise': 1659546321, 'sunset': 1659608429}, 'timezone': 39600, 'id': 2122493, 'name': 'Omsukchan', 'cod': 200}",1659562223,Omsukchan,RU,62.5333,155.8,58.12,77.0,96.0,7.2
26,"{'coord': {'lon': 15.6401, 'lat': 78.2186}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 49.84, 'feels_like': 45.03, 'temp_min': 49.84, 'temp_max': 49.84, 'pressure': 1007, 'humidity': 81}, 'visibility': 10000, 'wind': {'speed': 12.66, 'deg': 260}, 'clouds': {'all': 75}, 'dt': 1659562081, 'sys': {'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}, 'timezone': 7200, 'id': 2729907, 'name': 'Longyearbyen', 'cod': 200}",1659562081,Longyearbyen,SJ,78.2186,15.6401,49.84,81.0,75.0,12.66
27,"{'coord': {'lon': 169.8464, 'lat': -46.2817}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 43.9, 'feels_like': 41.59, 'temp_min': 43.9, 'temp_max': 43.9, 'pressure': 1015, 'humidity': 81, 'sea_level': 1015, 'grnd_level': 1014}, 'visibility': 10000, 'wind': {'speed': 4.27, 'deg': 357, 'gust': 7.27}, 'rain': {'1h': 0.29}, 'clouds': {'all': 100}, 'dt': 1659562038, 'sys': {'country': 'NZ', 'sunrise': 1659556671, 'sunset': 1659591337}, 'timezone': 43200, 'id': 2208248, 'name': 'Kaitangata', 'cod': 200}",1659562038,Kaitangata,NZ,-46.2817,169.8464,43.9,81.0,100.0,4.27
28,"{'coord': {'lon': 12.7805, 'lat': 26.5921}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 92.28, 'feels_like': 88.45, 'temp_min': 92.28, 'temp_max': 92.28, 'pressure': 1010, 'humidity': 19, 'sea_level': 1010, 'grnd_level': 959}, 'visibility': 10000, 'wind': {'speed': 6.22, 'deg': 88, 'gust': 7.43}, 'clouds': {'all': 41}, 'dt': 1659562228, 'sys': {'country': 'LY', 'sunrise': 1659501282, 'sunset': 1659549322}, 'timezone': 7200, 'id': 2219235, 'name': 'Ubari', 'cod': 200}",1659562228,Ubari,LY,26.5921,12.7805,92.28,19.0,41.0,6.22
29,"{'coord': {'lon': -71.0824, 'lat': 48.5334}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 74.55, 'feels_like': 73.87, 'temp_min': 73.42, 'temp_max': 75.22, 'pressure': 1010, 'humidity': 46}, 'visibility': 10000, 'wind': {'speed': 3.44, 'deg': 110}, 'clouds': {'all': 100}, 'dt': 1659562230, 'sys': {'type': 1, 'id': 327, 'country': 'CA', 'sunrise': 1659518483, 'sunset': 1659572373}, 'timezone': -14400, 'id': 6138360, 'name': 'Saint-Honoré', 'cod': 200}",1659562230,Saint-Honoré,CA,48.5334,-71.0824,74.55,46.0,100.0,3.44
30,"{'coord': {'lon': 55.7679, 'lat': -21.3585}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 65.1, 'feels_like': 65.21, 'temp_min': 63.1, 'temp_max': 65.79, 'pressure': 1024, 'humidity': 83, 'sea_level': 1024, 'grnd_level': 1017}, 'visibility': 10000, 'wind': {'speed': 7.92, 'deg': 74, 'gust': 9.42}, 'rain': {'1h': 0.23}, 'clouds': {'all': 50}, 'dt': 1659561907, 'sys': {'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1659581234, 'sunset': 1659621528}, 'timezone': 14400, 'id': 935215, 'name': 'Saint-Philippe', 'cod': 200}",1659561907,Saint-Philippe,RE,-21.3585,55.7679,65.1,83.0,50.0,7.92
31,"{'coord': {'lon': -114.3525, 'lat': 62.456}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 64.92, 'feels_like': 63.23, 'temp_min': 64.56, 'temp_max': 64.92, 'pressure': 1012, 'humidity': 45}, 'visibility': 10000, 'wind': {'speed': 10.36, 'deg': 60}, 'clouds': {'all': 75}, 'dt': 1659561961, 'sys': {'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1659524752, 'sunset': 1659586873}, 'timezone': -21600, 'id': 6185377, 'name': 'Yellowknife', 'cod': 200}",1659561961,Yellowknife,CA,62.456,-114.3525,64.92,45.0,75.0,10.36
32,"{'coord': {'lon': 24.7314, 'lat': -34.0033}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 54.7, 'feels_like': 54.19, 'temp_min': 54.7, 'temp_max': 54.7, 'pressure': 1018, 'humidity': 92, 'sea_level': 1018, 'grnd_level': 991}, 'visibility': 10000, 'wind': {'speed': 5.55, 'deg': 255, 'gust': 10.67}, 'clouds': {'all': 75}, 'dt': 1659562165, 'sys': {'country': 'ZA', 'sunrise': 1659503530, 'sunset': 1659541338}, 'timezone': 7200, 'id': 986717, 'name': 'Kruisfontein', 'cod': 200}",1659562165,Kruisfontein,ZA,-34.0033,24.7314,54.7,92.0,75.0,5.55
33,"{'coord': {'lon': 80.5464, 'lat': 73.5069}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 41.76, 'feels_like': 36.03, 'temp_min': 41.76, 'temp_max': 41.76, 'pressure': 1015, 'humidity': 100, 'sea_level': 1015, 'grnd_level': 1010}, 'visibility': 65, 'wind': {'speed': 9.51, 'deg': 205, 'gust': 11.36}, 'clouds': {'all': 100}, 'dt': 1659561911, 'sys': {'country': 'RU', 'sunrise': 0, 'sunset': 0}, 'timezone': 25200, 'id': 1507390, 'name': 'Dikson', 'cod': 200}",1659561911,Dikson,RU,73.5069,80.5464,41.76,100.0,100.0,9.51
34,"{'coord': {'lon': 147.2712, 'lat': -2.0226}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 80.42, 'feels_like': 85.62, 'temp_min': 80.42, 'temp_max': 80.42, 'pressure': 1009, 'humidity': 83, 'sea_level': 1009, 'grnd_level': 1009}, 'visibility': 4665, 'wind': {'speed': 11.34, 'deg': 103, 'gust': 16.06}, 'clouds': {'all': 85}, 'dt': 1659562008, 'sys': {'country': 'PG', 'sunrise': 1659557765, 'sunset': 1659601079}, 'timezone': 36000, 'id': 2092164, 'name': 'Lorengau', 'cod': 200}",1659562008,Lorengau,PG,-2.0226,147.2712,80.42,83.0,85.0,11.34
35,"{'coord': {'lon': 30.7861, 'lat': 59.7035}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 62.19, 'feels_like': 62.15, 'temp_min': 61.92, 'temp_max': 62.78, 'pressure': 1020, 'humidity': 86, 'sea_level': 1020, 'grnd_level': 1016}, 'visibility': 10000, 'wind': {'speed': 2.98, 'deg': 228, 'gust': 3.22}, 'clouds': {'all': 42}, 'dt': 1659561947, 'sys': {'type': 2, 'id': 47750, 'country': 'RU', 'sunrise': 1659577563, 'sunset': 1659637190}, 'timezone': 10800, 'id': 546105, 'name': 'Nikolskoye', 'cod': 200}",1659561947,Nikolskoye,RU,59.7035,30.7861,62.19,86.0,42.0,2.98
36,"{'coord': {'lon': 82.1838, 'lat': 29.2747}, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 63.3, 'feels_like': 63.93, 'temp_min': 63.3, 'temp_max': 63.3, 'pressure': 1011, 'humidity': 98, 'sea_level': 1011, 'grnd_level': 773}, 'visibility': 7719, 'wind': {'speed': 2.37, 'deg': 219, 'gust': 2.71}, 'rain': {'1h': 1.22}, 'clouds': {'all': 100}, 'dt': 1659562086, 'sys': {'country': 'NP', 'sunrise': 1659570783, 'sunset': 1659619301}, 'timezone': 20700, 'id': 1283285, 'name': 'Jumla', 'cod': 200}",1659562086,Jumla,NP,29.2747,82.1838,63.3,98.0,100.0,2.37
37,"{'coord': {'lon': -40.2925, 'lat': -20.3297}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 73.94, 'feels_like': 74.98, 'temp_min': 73.94, 'temp_max': 75.15, 'pressure': 1018, 'humidity': 84}, 'visibility': 9000, 'wind': {'speed': 4.61, 'deg': 180}, 'clouds': {'all': 75}, 'dt': 1659561994, 'sys': {'type': 2, 'id': 2012383, 'country': 'BR', 'sunrise': 1659517824, 'sunset': 1659558254}, 'timezone': -10800, 'id': 3445026, 'name': 'Vila Velha', 'cod': 200}",1659561994,Vila Velha,BR,-20.3297,-40.2925,73.94,84.0,75.0,4.61
38,"{'coord': {'lon': -159.775, 'lat': -21.2078}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 75.25, 'feels_like': 75.49, 'temp_min': 75.25, 'temp_max': 75.25, 'pressure': 1022, 'humidity': 64}, 'visibility': 10000, 'wind': {'speed': 18.41, 'deg': 80}, 'clouds': {'all': 100}, 'dt': 1659561674, 'sys': {'type': 1, 'id': 7271, 'country': 'CK', 'sunrise': 1659546564, 'sunset': 1659586862}, 'timezone': -36000, 'id': 4035715, 'name': 'Avarua', 'cod': 200}",1659561674,Avarua,CK,-21.2078,-159.775,75.25,64.0,100.0,18.41
39,"{'coord': {'lon': 104.7104, 'lat': 16.9364}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 74.23, 'feels_like': 75.96, 'temp_min': 74.23, 'temp_max': 74.23, 'pressure': 1007, 'humidity': 98, 'sea_level': 1007, 'grnd_level': 991}, 'visibility': 10000, 'wind': {'speed': 3.58, 'deg': 185, 'gust': 8.61}, 'rain': {'1h': 0.86}, 'clouds': {'all': 100}, 'dt': 1659562247, 'sys': {'country': 'TH', 'sunrise': 1659566508, 'sunset': 1659612764}, 'timezone': 25200, 'id': 1605483, 'name': 'That Phanom', 'cod': 200}",1659562247,That Phanom,TH,16.9364,104.7104,74.23,98.0,100.0,3.58
40,"{'coord': {'lon': -69.3632, 'lat': 77.484}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 46.13, 'feels_like': 46.13, 'temp_min': 46.13, 'temp_max': 46.13, 'pressure': 1013, 'humidity': 61, 'sea_level': 1013, 'grnd_level': 1009}, 'visibility': 10000, 'wind': {'speed': 1.14, 'deg': 64, 'gust': 2.21}, 'clouds': {'all': 87}, 'dt': 1659561900, 'sys': {'country': 'GL', 'sunrise': 0, 'sunset': 0}, 'timezone': -10800, 'id': 3831208, 'name': 'Qaanaaq', 'cod': 200}",1659561900,Qaanaaq,GL,77.484,-69.3632,46.13,61.0,87.0,1.14
